Time [s], Analyzer Name, Decoded Protocol Result
0.000011000000000,I2C,Setup Write to [0x3A] + ACK
0.000044250000000,I2C,0x00 + ACK
0.000076500000000,I2C,0x02 + ACK
0.000108250000000,I2C,0x44 + ACK
0.000140250000000,I2C,0x40 + ACK
0.000172000000000,I2C,0x40 + ACK
0.000204000000000,I2C,0x05 + ACK
0.000236000000000,I2C,0x69 + ACK
0.000267750000000,I2C,0x17 + ACK
0.000299750000000,I2C,0x75 + ACK
0.000331500000000,I2C,0x40 + ACK
0.000363500000000,I2C,0x40 + ACK
0.000395250000000,I2C,0x06 + ACK
0.000427250000000,I2C,0x08 + ACK
0.000459250000000,I2C,0x89 + ACK
0.000491000000000,I2C,0xA4 + ACK
0.000523000000000,I2C,0x95 + ACK
0.000554750000000,I2C,0x9C + ACK
0.000586750000000,I2C,0x73 + Missing ACK/NAK
0.000618500000000,I2C,Setup Write to [0x01] + ACK
0.000650500000000,I2C,0x72 + ACK
0.000682500000000,I2C,0x20 + ACK
0.000714250000000,I2C,0x0B + ACK
0.000746250000000,I2C,0xAA + ACK
0.000778250000000,I2C,0xAA + ACK
0.000812250000000,I2C,0x28 + ACK
0.000844000000000,I2C,0x30 + ACK
0.000876000000000,I2C,0x40 + ACK
0.000908000000000,I2C,0x87 + ACK
0.000939750000000,I2C,0xC2 + ACK
0.000971750000000,I2C,0x25 + ACK
0.001003500000000,I2C,0x30 + ACK
0.001035500000000,I2C,0x26 + ACK
0.001067250000000,I2C,0x47 + ACK
0.002517000000000,I2C,Setup Write to [0x3A] + ACK
0.002549750000000,I2C,0x04 + ACK
0.002581750000000,I2C,0x05 + ACK
0.003511500000000,I2C,Setup Write to [0x3A] + ACK
0.003544250000000,I2C,0x06 + ACK
0.003576000000000,I2C,0xF7 + ACK
0.004510250000000,I2C,Setup Write to [0x3A] + ACK
0.004543000000000,I2C,0x05 + Missing ACK/NAK
0.004575000000000,I2C,Setup Write to [0x70] + ACK
0.005511000000000,I2C,Setup Write to [0x3A] + ACK
0.005543750000000,I2C,0x07 + ACK
0.005575500000000,I2C,0x60 + ACK
0.006514500000000,I2C,Setup Write to [0x3A] + ACK
0.006547000000000,I2C,0x1A + ACK
0.006579000000000,I2C,0x90 + ACK
0.007513750000000,I2C,Setup Write to [0x3A] + ACK
0.007546500000000,I2C,0x1E + ACK
0.007578500000000,I2C,0xAE + ACK
0.008512000000000,I2C,Setup Write to [0x3A] + ACK
0.008544750000000,I2C,0x03 + ACK
0.008576750000000,I2C,0x40 + ACK
0.009512500000000,I2C,Setup Write to [0x3A] + ACK
0.009545250000000,I2C,0x01 + ACK
0.009577000000000,I2C,0x45 + ACK
0.010512750000000,I2C,Setup Write to [0x3A] + ACK
0.010545500000000,I2C,0x18 + ACK
0.010577500000000,I2C,0x20 + ACK
