Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
0.000044750000000,0,0x3A,0x00,Write,ACK
0.000077000000000,0,0x3A,0x02,Write,ACK
0.000109000000000,0,0x3A,0x44,Write,ACK
0.000140750000000,0,0x3A,0x40,Write,ACK
0.000172750000000,0,0x3A,0x40,Write,ACK
0.000204750000000,0,0x3A,0x05,Write,ACK
0.000236500000000,0,0x3A,0x69,Write,ACK
0.000268500000000,0,0x3A,0x17,Write,ACK
0.000300250000000,0,0x3A,0x75,Write,ACK
0.000332250000000,0,0x3A,0x40,Write,ACK
0.000364250000000,0,0x3A,0x40,Write,ACK
0.000459750000000,1,0x04,0x89,Write,ACK
0.000491750000000,1,0x04,0xA4,Write,ACK
0.000523750000000,1,0x04,0x95,Write,ACK
0.000555500000000,1,0x04,0x9C,Write,ACK
0.000587500000000,1,0x04,0x73,Write,ACK
0.000619250000000,1,0x04,0x02,Write,ACK
0.000651250000000,1,0x04,0x72,Write,ACK
0.000688500000000,1,0x04,0x20,Write,ACK
0.000720250000000,1,0x04,0x0B,Write,ACK
0.000752250000000,1,0x04,0xAA,Write,ACK
0.000784000000000,1,0x04,0xAA,Write,ACK
0.000816000000000,1,0x04,0x28,Write,ACK
0.000847750000000,1,0x04,0x30,Write,ACK
0.000879750000000,1,0x04,0x40,Write,ACK
0.000911750000000,1,0x04,0x87,Write,ACK
0.000943500000000,1,0x04,0xC2,Write,ACK
0.000975500000000,1,0x04,0x25,Write,ACK
0.001007250000000,1,0x04,0x30,Write,ACK
0.001039250000000,1,0x04,0x26,Write,ACK
0.001071000000000,1,0x04,0x47,Write,ACK
0.002436000000000,2,0x3A,0x0B,Write,ACK
0.002467750000000,2,0x3A,0x18,Write,ACK
0.003422750000000,3,0x3A,0x0A,Write,ACK
0.003454750000000,3,0x3A,0x0C,Write,ACK
0.004418500000000,4,0x3A,0x0B,Write,ACK
0.004450500000000,4,0x3A,0x18,Write,ACK
0.005418000000000,5,0x3A,0x0B,Write,ACK
0.005449750000000,5,0x3A,0x18,Write,ACK
0.006418500000000,6,0x3A,0x03,Write,ACK
0.006450500000000,6,0x3A,0x40,Write,ACK
0.007435500000000,7,0x3A,0x0A,Write,ACK
0.007467500000000,7,0x3A,0x0C,Write,ACK
0.008421500000000,8,0x3A,0x04,Write,ACK
0.008453500000000,8,0x3A,0x05,Write,ACK
0.009433750000000,9,0x3A,0x1E,Write,ACK
0.009466000000000,9,0x3A,0x26,Write,ACK
0.010422000000000,10,0x3A,0x1E,Write,ACK
0.010453750000000,10,0x3A,0x26,Write,ACK
0.011421000000000,11,0x3A,0x1E,Write,ACK
0.011453000000000,11,0x3A,0x27,Write,ACK
0.012429750000000,12,0x3A,0x12,Write,ACK
0.012461500000000,12,0x3A,0x72,Write,ACK
0.013424000000000,13,0x3A,0x1E,Write,ACK
0.013455750000000,13,0x3A,0x27,Write,ACK
0.014422750000000,14,0x3A,0x1F,Write,ACK
0.014454500000000,14,0x3A,0x66,Write,ACK
0.015422750000000,15,0x3A,0x1B,Write,ACK
0.015454750000000,15,0x3A,0xC2,Write,ACK
0.016423000000000,16,0x3A,0x04,Write,ACK
0.016454750000000,16,0x3A,0x05,Write,ACK
0.017430500000000,17,0x3A,0x0C,Write,ACK
0.017462250000000,17,0x3A,0x85,Write,ACK
0.018425500000000,18,0x3A,0x1A,Write,ACK
0.018457500000000,18,0x3A,0x8F,Write,ACK
0.019436250000000,19,0x3A,0x05,Write,ACK
0.020427250000000,20,0x3A,0x19,Write,ACK
0.020459000000000,20,0x3A,0x40,Write,ACK
0.021424000000000,21,0x3A,0x01,Write,ACK
0.021455750000000,21,0x3A,0x0C,Write,ACK
0.022433500000000,22,0x3A,0x02,Write,ACK
0.022465250000000,22,0x3A,0x40,Write,ACK
0.023428000000000,23,0x3A,0x08,Write,ACK
0.023460000000000,23,0x3A,0x62,Write,ACK
0.024431250000000,24,0x3A,0x09,Write,ACK
0.024463250000000,24,0x3A,0x40,Write,ACK
0.025426000000000,25,0x3A,0x03,Write,ACK
0.025458000000000,25,0x3A,0x40,Write,ACK
0.026428750000000,26,0x3A,0x01,Write,ACK
0.027449250000000,27,0x3A,0x1E,Write,ACK
0.027481250000000,27,0x3A,0xA7,Write,ACK
0.028430750000000,28,0x3A,0x11,Write,ACK
0.028463250000000,28,0x3A,0x02,Write,ACK
0.029439250000000,29,0x3A,0x12,Write,ACK
0.029471500000000,29,0x3A,0x72,Write,ACK
0.030430500000000,30,0x3A,0x0F,Write,ACK
0.030462250000000,30,0x3A,0xA4,Write,ACK
0.031429750000000,31,0x3A,0x10,Write,ACK
0.031461500000000,31,0x3A,0x63,Write,ACK
0.032436500000000,32,0x3A,0x17,Write,ACK
0.032468500000000,32,0x3A,0x28,Write,ACK
0.033431250000000,33,0x3A,0x1D,Write,ACK
0.033463000000000,33,0x3A,0x30,Write,ACK
0.034430250000000,34,0x3A,0x13,Write,ACK
